ID,Category,SLOT,English,Turkish,Finnish,Polish,German,French,Spanish,Portuguese,Brazilian,Czech,Italian,Dutch,,
354,Line,HANG,Hang,Asıl,Roiku,Zostań,,,,Pendurado,Segura,,,,,
355,Line,AGAIN,Again,Tekrar,(Jatkaa),Powtórz,,,,Outra vez,de novo,,,,,
356,Line,HOOK,Hook,Yapıştır,Nuole,Przyklej,,,Gancho,Gancho,engancha,,,,,
357,Line,CLIP,Clip,Apeksi Kes,Sisältä,Zahacz,,,Enganchar,Engatar,esbarra,,,,,
358,Line,CUT_LATE,Cut Late,Geç kes,Leikkaa Lopussa,Tnij późno,,,,Corta Tarde,Corta tarde,,,,,
359,Line,CUT_EARLY,Cut Early,Erken kes,,Tnij wcześnie,,,,Corta Cedo,Corta cedo,,,,,
360,Line,CUT_FULL,Cut Full,Tam kes,Ahne,Tnij całość,,,,Corta Tudo,Corta tudo,,,,,
361,Line,CUT_LIGHT,Cut Slightly,Hafif kes,Sisältä,Przytnij,,,,Corta Leve,corta leve,,,,,
362,Line,CUT_THROUGH,Cut Through,Üzerinden kes,Leikkaa Läpi,Tnij przez,,,,Corta sobre,Corte através,,,,,
363,Line,CUT_DEEP,Cut Deep,Derin kes,,Tnij głęboko,,,,Corta a Fundo,Corte fundo,,,,,
364,Line,DONTCUT_EARLY,Dont cut early,Erken kesme,Älä Alussa,Nie tnij wcześnie,,,,Não Cortes Cedo,Não corta cedo,,,,,
365,Line,DONTCUT_LATE,Dons cut late,Geç kesme,Älä Lopussa,Nie tnij późno,,,,Não Cortes Tarde,Não corta tarde,,,,,
366,Line,KEEP_LINE,Line,Çizgi,Hae,Linią / Torem,,,Por línea,Mantêm trajetória,Mantem na linha,,,,,
367,Line,CAMBER,Camber,Kamber,Camber / dos,Odchył,,,Caida,Inclinação Lateral,Lateral,,,,,
368,Line,CAMBER_BAD,Bad camber,Kötü kamber,,Wynosi,,,,Inclinacao Lateral Errada,joga pra fora,,,,,
369,Line,CAMBER_GOOD,Good camber,İyi kamber,,Dociska,,,,Inclinacao Lateral Correta,puxa pra dentro,,,,,
370,Line,LEFTISH,Leftish,Hafif sol,Vähän Vasemmalta,Lewą,,,,Inclinada à esquerda,esquerdinha,,,,,
371,Line,RIGHTISH,Rightish,Hafif sağ,Vähän Oikeelta,Prawą,,,,Inclinada à direita,direitinha,,,,,
372,Line,GO_ROUND,Go Round,Dolaş,Kierrä,Objedź,,,,Contorna,contorna,,,,,
373,Line,DOUBLE_DONT,Double Don't,Çifte Yapma,Tupla Älä,Podwójne nie,,,,Duplo não,Nao nao,,,,,
374,Line,TRIPLE_DONT,Triple Don't,Hiç yapma,Tripla Älä,Potrójne nie,,,,Triplo não,Triplo não,,,,,
375,Line,CAMBER_POSITIVE,Positive Camber,Pozitif,,Pozytyw,,,,Inclinacao Positiva,positiva,,,,,
376,Line,CAMBER_NEGATIVE,Negative Camber,Negatif,,Negatyw,,,,Inclinacao Negativa,negativa,,,,,
377,Line,TO_SIGHT_DISTANCE,To Sight Distance,Ufuk çizgisine,,Po horyzont,,,Mala visivilidad,Vê a Distância,até o horizonte,,,,,
378,Line,STAY,Stay,Kal,,Zostań,,,,Fica,Mantem,,,,,
379,Line,STAY_IN,Stay in,İçeride kal,,Zostań wewnątrz,,,,Fica dentro,Mantem por dentro,,,,,
380,Line,STAY_OUT,Stay Out,Dışarıda kal,Ulkoo,Zostań zewnątrz,,,,Fica fora,Mantem por fora,,,,,
381,Line,STAY_NARROW,Stay Narrow,Dardan al,,Zostań ciasno,,,,Fica estreito,Mantem pelo estreito,,,,,
382,Line,STAY_WIDE,Stay Wide,Genişten al,,Zostań szeroko,,,,Fica largo,Mantem aberto,,,,,
383,Line,DOWNHILL,Down,Yokuş aşağı,Alas,W dół,,,cuesta abajo,A Descer,Descida,,,,,
384,Line,UPHILL,Up,Yokuş Yukarı,Ylös,W górę,,,cuesta arriba,A Subir,Subida,,,,,
400,Links,TAKE_EXIT,Take Exit,Çıkışı al,,Wyjazd,,,,Pela saída,pega a saída,,,,,
401,Links,THROUGH,Through,Üzerinden,Läpi,Przez,,,Completamente,Através,Atraves,,,,,
402,Links,FOR,For,İçin,,Przez,,,Para,Para,Para,,,,,
403,Links,THEN,Then,Sonra,Sitten,Potem,,,Luego,Depois,depois,,,,,
404,Links,IMMEDIATE,Immediate,Hemen,Heti,Natychmiast,,,Inmediatamente,Imediatamente,Agora,,,,,
405,Links,CONTINUES,Continues,Sürekli,Jatkuu / Jatkaa,Przechodzi,,,Continúa,Continua,Continua,,,,,
407,Links,OVER,Over,Üzerinden,Yli,Przez,,,Sobre,Sobre,Sobre,,,,,
409,Links,DONE,Done,Tamam,Valmis,Koniec,,,Anular,Feito,Feito,,,,,
420,Driving,BRAKE,Brake,Frenle,Jarru,HAMUJ,,,Frenando,Trava,Freia,,,,,
421,Driving,BRAKING_HARD,Brake Hard,Sert frenle,,Mocne Hamowanie,,,,Trava a fundo,Freia muito,,,,,
422,Driving,BRAKING,Braking,Frenle,,Hamowanie,,,Frenando,Travando,Freando,,,,,
423,Driving,DAB,Dab [the brake],Frene bas-çek,,Przyhamuj,,,,Toque travão,Freia de leve,,,,,
424,Driving,HANDBRAKE,Handbrake,El freni,Kässäri,Szarpnij,,,freno de mano,Travão de Mão,Freio de mão,,,,,
425,Driving,SLOW,Slow,Yavaş,Hidas,Wolny,,,Menos,Lenta,Devagar,,,,,
426,Driving,SLOWING,Slowing,Yavaşlıyor,Hidastaa,Zwalnia,,,Disminuir la velocidad,Abranda,Diminui,,,,,
427,Driving,WALKING_SPEED,Walking speed / Walk,Yürüme hızında,,Spacerkiem,,,,Velocidade de andamento,Andando,,,,,
428,Driving,STOP,Stop,Dur,Vauhti Pois,Stop,,,Parar,Pára,Para,,,,,
429,Driving,LIFT,Lift,Kaldır,Nosta,Odpuść,,,,Levanta,Levanta,,,,,
431,Driving,NEAT,Neat,Temiz,Nätisti,Dokładnie,,,,lisa,lisa,,,,,
432,Driving,FASTER,Faster,Daha hızlı,Nopee,Szybciej,,,,Mais rapido,Mais rapido,,,,,
433,Driving,FLATOUT,Flatout,Kökle,Täys,Max,,,A toda máquina,A Fundo,Pisa fundo,,,,,
434,Driving,BRAVE,Brave,Cesur ol,,Śmiało,,,,Coragem,Coragem,,,,,
435,Driving,BELIEVE,Believe/Trust,Korkma,Usko,Nie bój,,,,Acredita,Acredita,,,,,
436,Driving,SIDEWAYS,Rotate,Kaydır,Käännä,Zarzuć,,,De lado,De lado,De lado,,,,,
437,Driving,UNDERSTEER,Understeer,Kafadan kayma,Aliohjaa,Podster,,,Aflojando,Subviragem / Escorrega de frente,Subviragem,,,,,
438,Driving,DONTLOCKUP,Dont lock-up,Tekerleri kilitleme,,Nie zblokuj,,,,Não bloquea,Não trava,,,,,
500,Prepositions,BEFORE,Before,Önce,Ennen,Przed,,,Antes,Antes,Antes,,,,,
501,Prepositions,AFTER,After,Sonra,Jälkeen,Po,,,Despues,Depois,Depois,,,,,
502,Prepositions,BEHIND,Behind,Arka,,Za,,,Atras,Atrás,Atras,,,,,
503,Prepositions,NEAR,Near,Yakın,Lähellä,Obok,,,Cerca,Próximo,Proximo,,,,,
504,Prepositions,IN,In,İçinde,,W,,,Hacia dentro,Na,Na,,,,,
505,Prepositions,ON,On,Üstünde,Päällä,Na,,,Hacia fuera,Ligado,No,,,,,
506,Prepositions,OFF,Off,Çık,,Z,,,Saliendo,Desligado,Fora,,,,,
507,Prepositions,UNTIL,Until,Kadar,Kunnes,Do,,,Hasta que,Até,Ate ,,,,,
508,Prepositions,AT,At,De/Da,Kohdalla,Na,,,En,Na,A,,,,,
509,Prepositions,AT_ENTRY,At Entry,Girişte,,Na wejściu,,,,Na entrada,Na entrada,,,,,
510,Prepositions,AT_EXIT,At Exit,Çıkışta,,Na wyjściu,,,,Na saída,Na saída,,,,,
511,Prepositions,AT_FIRST,At First,İlkinde,,Na pierwszym,,,En primera,Na primeira,Na primeira,,,,,
512,Prepositions,AT_SECOND,At Second,İkincisinde,,Na drugim,,,En segunda,Na segunda,Na segunda,,,,,
513,Prepositions,AT_THIRD,At Third,Üçüncüsünde,,Na trzecim,,,En tercera,Na terceira,Na terceira,,,,,
514,Prepositions,AT_FOURTH,At Fourth,Dördüncüsünde,,Na czwartym,,,En cuarta,Na quarta,Na quarta,,,,,
515,Prepositions,AT_FIFTH,At Fifth,Beşincisinde,,Na piątym,,,En quinta,Na quinta,Na quinta,,,,,
600,Adjectives,TIGHTENS_TO5,Tightens to 5,5e Kapanıyor,Kirraa 5,Zacisk Pięć,,,Cierra Cinco,Fecha Cinco,Fecha para Cinco,,,,,
601,Adjectives,TIGHTENS_TO4,Tightens to 4 ,4e Kapanıyor,Kirraa 4,Zacisk Cztery,,,Cierra Quatro,Fecha Quatro,Fecha para Quatro,,,,,
602,Adjectives,TIGHTENS_TO3,Tightens to 3,3e kapanıyor,Kirraa 3,Zacisk Trzy,,,Cierra Tres,Fecha Três,Fecha para Três,,,,,
603,Adjectives,TIGHTENS_TO2,Tightens to 2,2ye kapanıyor,Kirraa 2,Zacisk DWA,,,Cierra DOS,Fecha DOIS,Fecha para DOIS,,,,,
604,Adjectives,TIGHTENS_TOSQUARE,Tightens to Square,Dik kapanıyor,Kirraa Neliö,Zacisk HAK,,,Cierra Cruce,Fecha 90,Fecha para 90,,,,,
605,Adjectives,TIGHTENS_TO1,Tightens to 1,1e kapanıyor,Kirraa 1,Zacisk JEDEN,,,Cierra Uno,Fecha UM,Fecha para UM,,,,,
606,Adjectives,TIGHTENS_TOHP,Tightens to Hairpin,U olarak kapanıyor,Kirraa Serpo,Zacisk NAWRÓT!,,,Cierra Paella,Fecha Para Gancho,Fecha para hairpin,,,,,
607,Adjectives,TIGHTENS_TOACUTE,Tightens to Acute,Dar kapanıyor,Kirraa Taka,Zacisk SZPILA!,,,Cierra Aguja,Fecha Para Aguda,Fecha para Aguda,,,,,
610,Adjectives,TO6,,Altıya,,,,,,,,,,,,
611,Adjectives,TO5,,Beşe,,,,,,,,,,,,
612,Adjectives,TO4,,Dörde,,,,,,,,,,,,
613,Adjectives,TO3,,Üçe,,,,,,,,,,,,
614,Adjectives,TO2,,İkiye,,,,,,,,,,,,
615,Adjectives,TOSQUARE,,Keskin,,Hak,,,,,,,,,,
616,Adjectives,TO1,,Bire,,,,,,,,,,,,
617,Adjectives,TOHP,Hairpin,U dönüşüne,,Nawrót,,,Paella,Gancho,Haripin,,,,,
618,Adjectives,TOACUTE,Acute,Dar viraja,,Szpila,,,Aguja,Aguda,Aguda,,,,,
620,Adjectives,OPENS_TO6,Opens to 6,6ya açılıyor,Aukee 6,Otwiera Sześć,,,Abre Seis,Abre Seis,Abre para Seis,,,,,
621,Adjectives,OPENS_TO5,Opens to 5,5e açılıyor,Aukee 5,Otwiera Pięć,,,Abre Cinco,Abre Cinco,Abre para Cinco,,,,,
622,Adjectives,OPENS_TO4,Opens to 4,4e açılıyor,Aukee 4,Otwiera Cztery,,,Abre Quatro,Abre Quatro,Abre para Quatro,,,,,
623,Adjectives,OPENS_TO3,Opens to 3,3e açılıyor,Aukee 3,Otwiera Trzy,,,Abre Tres,Abre Três,Abre para Três,,,,,
624,Adjectives,OPENS_TO2,Opens to 2,2ye açılıyor,Aukee 2,Otwiera DWA,,,Abre DOS,Abre DOIS,Abre para DOIS,,,,,
625,Adjectives,OPENS_TOSQUARE,Opens to Square,Dik açılıyor,Aukee Neliö,Otwiera HAK,,,Abre Cruce,Abre UM,Abre Para 90,,,,,
626,Adjectives,OPENS_TO1,Opens to 1,1e açılıyor,Aukee 1,Otwiera JEDEN,,,Abre UNO,Abre UM,Abre para UM,,,,,
627,Adjectives,OPENS_TOHP,Opens to Hairpin,U olarak açılıyor,Aukee Serpo,Otwiera NAWRÓT,,,Abre Paella,Abre Para Gancho,Abre para hairpin,,,,,
630,Adjectives,OPENS,Opens,Açılıyor,Aukee,Otwiera,,,Abriendose,Abre,Abre,,,,,
631,Adjectives,OPENS_TIGHTENS,Opens tightens,Dar açılıyor,Aukee-Kirraa,Otwiera Zamyka,,,Abre Cierra,Abre e Fecha,Abre e Fecha,,,,,
632,Adjectives,OPENS_LITTLE,Opens little,Biraz açılıyor,Aukee Vähän,Otwiera troszkę,,,Abre Poco,Abre pouco,Abre um pouco,,,,,
633,Adjectives,OPENS_EARLY,Opens early ,Erken açılıyor,Aukee Alussa,Otwiera WCZEŚNIE,,,Abre Pronto,Abre cedo,Abre antes,,,,,
634,Adjectives,OPENS_LATE,Opens late,Geç açılıyor,Aukee Lopussa,Otwiera późno,,,Abre Tarde,Abre tarde,Abre tarde,,,,,
635,Adjectives,OPENS_LONG,Opens long,Uzun açılıyor,Aukee Pitkä,Otwiera długo,,,Abre Largo,Abre longa,Abre longa,,,,,
636,Adjectives,OPENS_VERYLONG,Opens verylong,Çok uzun açılıyor,Aukee Tosipitkä,Otwiera bardzo długo,,,Abre Muy Largo,Abre muito longa,Abre muito longa,,,,,
637,Adjectives,OPENS_ROUND,Opens Round,Yuvarlar açılıyor,Aukee Pyöree,Otwiera na kulę,,,Abre Redondo,Abre redonda,Abre redonda,,,,,
638,Adjectives,TIGHTENS_OPENS,Tightens opens,Açılan darlık,Kirraa-Aukee,Zaciska otwiera,,,Cierra Abre,Aperta e Abre,Fecha e Abre,,,,,
639,Adjectives,TIGHTENS_LITTLE,Tightens little,Biraz daralır,Kirraa Vähän / Kääntää,Lekki zacisk,,,,Aperta um pouco,Fecha um pouco,,,,,
640,Adjectives,TIGHTENS_EARLY,Tightens early,Erken daralır,Kirraa Alussa ,Zacisk WCZESNY,,,Cierra pronto,Aperta cedo,Fecha antes,,,,,
641,Adjectives,TIGHTENS_LATE,Tightens late,Geç daralır,Kirraa Lopussa,Zacisk późny,,,Cierra tarde,Aperta Tarde,Fecha tarde,,,,,
642,Adjectives,TIGHTENS_LONG,Tightens long,Uzun daralır,Kirraa Pitkä,Zacisk długi,,,Cierra Largo,Aperta longa,Fecha longa,,,,,
643,Adjectives,TIGHTENS_VERYLONG,Tightens verylong,Çok uzun daralır,Kirraa Tosipitkä,Zacisk bardzo długi,,,Cierra Muy Largo,Aperta muito longa,Fecha muito longa,,,,,
644,Adjectives,TIGHTENS_SHARP,Tightens Sharp,Keskin daralır,Kirraa Terävä,Zacisk NAGŁY!,,,Cierra Violento,Aperta aguda,Fecha agudo,,,,,
645,Adjectives,TIGHTENS_ROUND,Tightens Round,Yuvarlak daralır,Kirraa Pyöree,Zacisk na kulę,,,Cierra Redondo,Aperta redonda,Fecha redonda,,,,,
646,Adjectives,OPENS_VERYVERYLONG,Opens Very Very Long,Çok çok uzun açılır,Aukee Pirunpitkä,Otwiera bardzo bardzo długo,,,,Abre muito longa,Abre muito muito longa,,,,,
647,Adjectives,OPENS_FUCKINGLONG,Opens Fucking Long,Yarrak gibi açılır,Aukee Perkeleenpitkä,Otwiera kurewsko długo,,,,Abre extremamente longa,Abre longa pra caralho,,,,,
648,Adjectives,TIGHTENS_VERYVERYLONG,Tightens Very Very Long,Çok çok uzun daralır,Kirraa Pirunpitkä,Zacisk bardzo bardzo długi,,,,Aperta muito longa,Fecha muito muito longa,,,,,
649,Adjectives,TIGHTENS_FUCKINGLONG,Tightens Fucking Long,Amcık gibi daralır,Kirraa Perkeleenpitkä,Zacisk kurewsko długi,,,,Aperta extremamente longa,Fecha longa pra caralho,,,,,
650,Adjectives,NIPS,Ściska,Daralır,Nips,Z wcięciem,,,Pezón,Afiado no fim,Afiada no fim,,,,,
1000,Prepositions,AT_BALE,At Bale,Balyada,,Na bali,,,,No fardo,No fardo,,,,,
1001,Prepositions,AT_TIRE,At Tire,Tekerde,,Na oponie,,,,No pneu,No pneu,,,,,
1002,Prepositions,AT_BARREL,At Barrel,Varilde,,Na beczce,,,,No barril,No barril,,,,,
1003,Prepositions,AT_ROCK,At Rock,Kayada,,Na kamieniu,,,,Na rocha,Na pedra,,,,,
1004,Prepositions,AT_POLE,At Pole,Direkte,,Na palu,,,,No poste,No poste,,,,,
1005,Prepositions,AT_BUSH,At Bush,Çimde,,Na krzaku,,,,No arbusto,No arbusto,,,,,
1006,Prepositions,AT_TREE,At Tree,Ağaçta,,Na drzewie,,,,Na árvore,Na arvore,,,,,
1007,Prepositions,AT_PATH,At Path,Patikada,,Na ścieżce,,,,No caminho,Pelo caminho,,,,,
1008,Prepositions,AT_PUDDLE,At Puddle,Su birikintisinde,,Na kałuży,,,,Na poça,Na poça d'agua,,,,,
1009,Prepositions,AT_SPECTATOR,At Spectator,Seyircilerin orada,,Na kibicu,,,,No espetador,No espectador,,,,,
1010,Prepositions,AT_MARSHALL,At Marshall,Hakemin orada,,Na sędzi,,,,No comissário,No marechal,,,,,
1011,Prepositions,AT_HOUSE,At House,Evde,,Na domku,,,,Na casa,Na casa,,,,,
1012,Prepositions,AT_BANNER,At Banner,Bannerda,,Na banerze,,,,Na faixa,No banner,,,,,
1013,Prepositions,AT_BARRIER,At Barrier,Bariyerde,,Na barierce,,,,Na barreira,Na barreira,,,,,
1014,Prepositions,AT_ISLAND,At Island,Adada,,Na wysepce,,,,Na ilha,Na ilha,,,,,
1015,Prepositions,AT_WALKWAY,At Walkway,Kaldırımda,,Na chodniku,,,,No passeio,Na calçada,,,,,
1016,Prepositions,AT_SIGN,At Sign,Levhada,,Na znaku,,,,No sinal,Na placa,,,,,
1017,Prepositions,AT_LOG,At Log,Kütükte,,Na kłodzie,,,,No tronco,No tronco,,,,,
1018,Prepositions,AT_CAR,At Car,Arabada,,Na aucie,,,,No carro,No carro,,,,,
1019,Prepositions,AT_SNOW_BANK,At Snow Bank,Kar yığınında,,Na zaspie,,,,No banco de neve,No banco de neve,,,,,
1020,Prepositions,AT_STUMP,At Stump,Ağaç Kökünde,,Na pniu,,,,No cepo,No tronco,,,,,
1021,Prepositions,AT_NETTING,At Netting,Filede,,Na siatce,,,,Na rede,Na rede,,,,,
1022,Prepositions,AT_TAPE,At Tape,Bantta,,Na taśmie,,,,Na fita,Na fita,,,,,
1023,Prepositions,AT_WALL,At Wall,Duvarda,,Na ścianie,,,,No muro,Na parede,,,,,
1024,Prepositions,AT_FENCE,At Fence,Çitte,,Na płocie,,,,Na cerca,Na cerca,,,,,
1025,Prepositions,AT_CONE,At Cone,Konide,,Na pachołku,,,,No cone,No cone,,,,,
1026,Prepositions,AT_SPLIT,At Split,Ayrımda,,Na pomiarze,,,,No parcial,Na bifurcação,,,,,
1035,Prepositions,AT_FORD,At Ford,Geçitte,,Na rzeczce,,,,Na passagem de água,No corrego,,,,,
1036,Prepositions,AT_BUMP,At Bump,Tümsekte,,Na wyboju,,,,No ressalto,Na lombada,,,,,
1037,Prepositions,AT_JUMP,At Jump,Zıplamada,,Na chopie,,,,No salto,No salto,,,,,
1038,Prepositions,AT_BRIDGE,At Bridge,Köprüde,,Na moście,,,,Na ponte,Na ponte,,,,,
1039,Prepositions,AT_CREST,At Crest,Tepede,,Na szczycie,,,,Na lomba,No alto,,,,,
1040,Prepositions,AT_BROW,At Brow,Yamaçta,,Na garbie,,,,Na lomba curta,Na lomba baixa,,,,,
1041,Prepositions,AT_DITCH,At Ditch,Hendekte,,Na rowie,,,,Na vala,Na vala,,,,,
1042,Prepositions,AT_CHICANE,At Chicane,Şikanda,,Na szykanie,,,,Na chicane,Na chicane,,,,,
1043,Prepositions,AT_DIP,At Dip,Dipte,,Na dnie,,,,Na depressão,Na depressão,,,,,
1044,Prepositions,AT_DROP,At Drop,Düşerken,,Na spadku,,,,No desnível,Na descida,,,,,
1045,Prepositions,AT_GATE,At Gate,Geçitte,,Na bramie,,,,No portão,No portão,,,,,
1046,Prepositions,AT_TUNNEL,At Tunnel,Tünelde,,Na tunelu,,,,No tunel,No tunel,,,,,
1047,Prepositions,AT_CURB,At Curb,Kerbde,,Na krawężniku,,,,No lancil,No meio-fio,,,,,
1048,Prepositions,AT_RAILS,At Rails,Raylarda,,Na szynach,,,,No trilho,Nos trilhos,,,,,
1049,Prepositions,AT_RAILWAY,At Railway,Tren yolunda,,Na kolei,,,,No caminho de ferro,Na rodovia,,,,,
1050,Prepositions,AT_BUMPS,At Bumps,Tümseklerde,,Na wybojach,,,,Nos ressaltos,Nas lombadas,,,,,
1051,Prepositions,AT_HOLE,At Hole,Çukurda,,Na dziurze,,,,No buraco,No buraco,,,,,
1052,Prepositions,AT_GRATE,At Grate,Mazgalda,,Na tarce,,,,Na grade metálica,Na grade,,,,,
1053,Prepositions,AT_RUT,At Rut,Teker izinde,,Na koleinie,,,,No sulco,No sulco,,,,,
1054,Prepositions,AT_RUTS,At Ruts,Teker izlerinde,,Na koleinach,,,,Nos sulcos,Nos sulcos,,,,,
1055,Prepositions,AT_ROUNDABOUT,At Roundabout,Göbekte,,Na rondzie,,,,Na rotunda à volta,Na rotatoria,,,,,
1056,Prepositions,AT_JUNCTION,At Junction,Yol ağzında,,Na krzyżówce,,,,No cruzamento,Na juncao,,,,,
1057,Prepositions,AT_FORK,At Fork,Çatalda,,Na rozwidleniu,,,,Na bifurcação,Na bifuracacao,,,,,
1058,Prepositions,AT_LAYBY,At Layby,Cepte,,Na zatoczce,,,,No carro,No carro,,,,,
1059,Prepositions,AT_INCLINE,At Incline,Eğimde,,Na wzniesieniu,,,,No inclinado,Na inclinacao,,,,,
1060,Prepositions,AT_HILL,At Hill,Yokuşta,,Na górce,,,,Na colina,Na colina,,,,,
1061,Prepositions,AT_SLOPE,At Slope,Yokuşta,,Na zboczu,,,,No declive,No barranco,,,,,
1062,Prepositions,AT_FIELD,At Field,Arazide,,Na polu,,,,No campo,No campo,,,,,
1063,Prepositions,AT_WATER,At Water,Suyun orada,,Na wodzie,,,,Na água,Na agua,,,,,
1064,Prepositions,AT_NIP,At Sumppu,,,Na winklu,,,,Na estreita,No achatamento,,,,,
1075,Prepositions,AT_BLACK,At Black,Siyahta,Mustalta,Na czarnym,,,,No preto,No preto,,,,,
1076,Prepositions,AT_BLUE,At Blue,Mavide,Siniseltä,Na niebieskim,,,,No azul,No azul,,,,,
1077,Prepositions,AT_GREEN,At Green,Yeşilde,Vihreeltä,Na zielonym,,,,No verde,No verde,,,,,
1078,Prepositions,AT_RED,At Red,Kırmızıda,Punaselta,Na czerwonym,,,,No vermelho,No vermelho,,,,,
1079,Prepositions,AT_WHITE,At White,Beyazda,Valkoselta,Na białym,,,,No branco,No branco,,,,,
1080,Prepositions,AT_YELLOW,At Yellow ,Sarıda,Keltaselta,Na żółtym,,,,No amarelo,No amarelo,,,,,
1081,Prepositions,AT_OBJECT,At Object,Objede,Esineeltä,Na czymś,,,,No objeto,No objeto,,,,,
1082,Prepositions,AT_THING,At Thing,Şeyde,Jutulta,Na tym,,,,Na coisa,Na coisa,,,,,
1083,Prepositions,AT_MARK,At Mark,İşarette,,Na znaku,,,,Na marca,Na marca,,,,,
1100,Prepositions,AT_BALES,At Bales,Balya,,Na balach,,,,Fardos,Fardos,,,,,
1101,Prepositions,AT_TIRES,At Tires,Teker,,Na oponach,,,,Pneus,Pneus,,,,,
1102,Prepositions,AT_BARRELS,At Barrels,Varil,Tynnyrit,Na beczkach,,,Bariles,Barris,Barris,,,,,
1103,Prepositions,AT_ROCKS,At Rocks,Taş,,Na kamieniach,,,Rocas,Pedras,Pedras,,,,,
1104,Prepositions,AT_POLES,At Poles,Direk,Tolpat,Na słupkach,,,,Postes,Postes,,,,,
1105,Prepositions,AT_BUSHES,At Bushes,Çim,,Na krzakach,,,,Arbustos,Arbustos,,,,,
1106,Prepositions,AT_TREES,At Trees,Ağaç,,Na drzewach,,,,Árvores,Árvores,,,,,
1107,Prepositions,AT_PATHS,At Paths,Patika,,Na ścieżkach,,,,Caminhos,Caminhos,,,,,
1108,Prepositions,AT_PUDDLES,At Puddles,Su birikintisi,,Na kałużach,,,,Poças,Poças,,,,,
1109,Prepositions,AT_SPECTATORS,At Spectators,İzleyici,Katsojat,Na kibicach,,,Espectadores,Espectadores,Espectadores,,,,,
1110,Prepositions,AT_MARSHALLS,At Marshalls,Marshall,Järkkärit,Na sędziach,,,Comisarios,Commissarios,Marechais,,,,,
1111,Prepositions,AT_HOUSES,At Houses,Ev,,Na domach,,,,Casas,Casas,,,,,
1112,Prepositions,AT_BANNERS,At Banners,Banner,,Na banerach,,,,Faixas,Banners,,,,,
1113,Prepositions,AT_BARRIERS,At Barriers,Bariyer,,Na barierkach,,,,Barreiras,Barreiras,,,,,
1114,Prepositions,AT_ISLANDS,At Islands,Ada,,Na wysepkach,,,,Ilhas,Ilhas,,,,,
1115,Prepositions,AT_WALKWAYS,At Walkways,Kaldırım,,Na chodnikach,,,,Passeios,Calçadas,,,,,
1116,Prepositions,AT_SIGNS,At Signs,Tabela,,Na znakach,,,,Sinais,Placas,,,,,
1117,Prepositions,AT_LOGS,At Logs,Kütük,,Na drwach,,,,Troncos,Troncos,,,,,
1118,Prepositions,AT_CARS,At Cars,Araba,,Na autach,,,,Carros,Carros,,,,,
1119,Prepositions,AT_SNOW_BANKS,At Snow Banks,Kar yığını,,Na zaspach,,,,Bancos de neve,Bancos de neve,,,,,
1120,Prepositions,AT_STUMPS,At Stumps,Ağaç kökü,,Na pieńkach,,,,Cepos,Troncos,,,,,
1121,Prepositions,AT_NETTINGS,At Nettings,File,,Na siatkach,,,,Redes,Redes,,,,,
1122,Prepositions,AT_TAPES,At Tapes,Bant,,Na taśmach,,,,Fitas,Fitas,,,,,
1123,Prepositions,AT_WALLS,At Walls,Duvar,,Na ścianach,,,,Muros,Paredes,,,,,
1124,Prepositions,AT_FENCES,At Fences,Çit,,Na płotach,,,,Cercas,Cercas,,,,,
1125,Prepositions,AT_CONES,At Cones,Koni,,Na pachołkach,,,,Cones,Cones,,,,,
1250,Construction,BALES,Bales,Balya,,Bale,,,,Fardos,Fardos,,,,,
1251,Construction,TIRES,Tires,Teker,,Opony,,,,Pneus,Pneus,,,,,
1252,Construction,BARRELS,Barrels,Varil,Tynnyrit,Beczki,,,Bariles,Barris,Barris,,,,,
1253,Construction,ROCKS,Rocks,Taş,,Kamienie,,,Rocas,Pedras,Pedras,,,,,
1254,Construction,POLES,Poles,Direk,Tolpat,Słupki,,,,Postes,Postes,,,,,
1255,Construction,BUSHES,Bushes,Çim,,Krzaki,,,,Arbustos,Arbustos,,,,,
1256,Construction,TREES,Trees,Ağaç,,Drzewa,,,,Árvores,Árvores,,,,,
1257,Construction,PATHS,Paths,Patika,,Ścieżki,,,,Caminhos,Caminhos,,,,,
1258,Construction,PUDDLES,Puddles,Su birikintisi,,Kałuże,,,,Poças,Poças,,,,,
1259,Construction,SPECTATORS,Spectators,İzleyici,Katsojat,Kibice,,,Espectadores,Espectadores,Espectadores,,,,,
1260,Construction,MARSHALLS,Marshalls,Marshall,Järkkärit,Sędziowie,,,Comisarios,Commissarios,Marechais,,,,,
1261,Construction,HOUSES,Houses,Ev,,Domy,,,,Casas,Casas,,,,,
1262,Construction,BANNERS,Banners,Banner,,Banery,,,,Faixas,Banners,,,,,
1263,Construction,BARRIERS,Barriers,Bariyer,,Barierki,,,,Barreiras,Barreiras,,,,,
1264,Construction,ISLANDS,Islands,Ada,,Wysepki,,,,Ilhas,Ilhas,,,,,
1265,Construction,WALKWAYS,Walkways,Kaldırım,,Chodniki,,,,Passeios,Calçadas,,,,,
1266,Construction,SIGNS,Signs,Tabela,,Znaki,,,,Sinais,Placas,,,,,
1267,Construction,LOGS,Logs,Kütük,,Drwa,,,,Troncos,Troncos,,,,,
1268,Construction,CARS,Cars,Araba,,Auta,,,,Carros,Carros,,,,,
1269,Construction,SNOW_BANKS,Snow Banks,Kar yığını,,Zaspy,,,,Bancos de neve,Bancos de neve,,,,,
